id;numer;latitude;longitude;nazwa
156;15154;51.12274;17.03061;Plac Staszica
157;15155;51.12814;17.05477;Jedności Narodowej / Wyszyńskiego
158;15156;51.11397;17.10395;Mickiewicza / pętla tramwajowa
159;15157;51.08361;17.03523;al. Armii Krajowej / Borowska
160;15158;51.09152;17.04033;Gliniana / Gajowa
161;15159;51.087764;17.039318;Kamienna / Tomaszowska
162;15160;51.08283;17.04824;al. Armii Krajowej / Bardzka
164;15162;51.07329;16.99485;Skarbowców / Wietrzna
165;15163;51.08022;16.99467;Racławicka / Rymarska
166;15164;51.13004;16.96605;Lotnicza / Bajana
167;15165;51.10666;17.14298;Strachocińska / Wieśniacza
168;15166;51.17759;17.01588;Księgarska / Dekarska / Zduńska
169;15168;51.08729;17.05115;Nyska / Jesionowa
170;15169;51.083551;17.060519;al. Armii Krajowej / Tarnogajska
171;15170;51.15127;16.86564;Prochowicka / Dolnobrzeska
172;15171;51.14395;16.89012;Boguszowska / Kosmonautów
173;15172;51.127778;16.990915;Popowicka 
174;15173;51.13884;16.93191;Kosmonautów / Glinianki / WUWA2
175;15174;51.15509;17.13249;Wilanowska
176;15175;51.16077283;17.12273419;Okulickiego
177;15176;51.142323;17.127246;Poleska / Litewska
178;15177;51.10224;17.11645;Bacciarellego / pętla autobusowa
179;15178;51.14597;16.86692;Średzka / Dolnobrzeska 
180;15179;51.11464;17.13042;Miłoszycka / Swojczycka 
181;15180;51.16322;16.89648;Stabłowicka / Główna 
182;15181;51.15435;16.89888;Wojanowska / Arbuzowa 
183;15182;51.14382;16.98789;Osobowicka / Ostrowska
184;15183;51.14574;17.13493;Kiełczowska
185;15184;51.141797;17.123711;Gorlicka / Litewska
186;15185;51.137258;17.048546;Kasprowicza / Syrokomli
187;15186;51.148528;17.020477;Paprotna / Obornicka, zajezdnia MPK
188;15187;51.14221;16.90591;Kosmonautów / Fieldorfa, szpital wojewódzki
189;15188;51.171074;16.902364;Stabłowicka 
190;15189;51.149606;16.938033;Mrągowska / Rolna
191;15190;51.109457;17.097924;Partyzantów / Okrzei
192;15191;51.089572;17.045321;Hubska / Prudnicka
193;15192;51.05864;17.05717;Jagodzińska / Buforowa
194;15193;51.103854;17.03678;Kołłątaja / Podwale
195;15194;51.071275;17.090906;Opolska / Siemianowicka
196;15195;51.11289;17.03971;Piaskowa / św. Ducha
197;15196;51.109433;16.969097;Klecińska / Duńska
198;15197;51.10823;17.02138;pl. Orląt Lwowskich
199;15198;51.09009;17.0235;Komandorska / Kamienna
200;15199;51.13707;16.94095;Wrocław Stadion, stacja kolejowa
201;15200;51.14323;16.86627;Wrocław Leśnica, stacja kolejowa
202;15167;51.11803073;17.09556341;Stadion Olimpijski
203;15254;51.129565;16.989853;Popowice
